Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
83%,96%,833.68,17.35,130.46,8.51,23.07,0.05,0.05
60%,69%,"1,096.18",13.65,86.8,4.87,15.97,-0.31,-0.27
62%,67%,"1,111.66",10.7,84.5,8.68,15.95,0,-0.31
94%,100%,867.21,13.76,137.9,9.16,25.59,0.6,0.6
93%,93%,785.14,16.93,128.85,4.18,25.23,-0.01,0.58
103%,102%,823.79,16.24,144.52,29.51,28.42,0.13,0.11
107%,105%,815.95,14.47,153.54,-15.36,30.53,0.07,0.21
107%,101%,771.59,14.4,151.04,14.13,30.09,-0.01,0.06
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,0,,0,,
,,,,0,,0,,
,,, -   ,0,0.94,0,,
100%,,40.37,50.75,4.36,0.6,26.9,,
141%,,32.04,45.61,5.22,0.45,31.93,0.19,
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
180%,205%,496.56,26.4,8.64,0.09,6.68,,
177%,162%,352.13,10.07,11.14,0.09,8.46,0.27,
211%,144%,219.69,12.21,15.04,0.63,11.48,0.36,0.72
222%,141%,182.2,14.7,17.74,0.54,14.66,0.28,0.73
133%,96%,222.18,9.72,12.8,1.4,10.82,-0.26,-0.06
177%,124%,115.41,16.78,19.07,1.23,16.16,0.49,0.1
168%,145%,117.78,15.96,23.93,2.87,21.54,0.33,0.99
137%,124%,121.46,12.39,22.09,2.09,21.06,-0.02,0.3
123%,103%,134.06,11.02,20.12,1.31,19.73,-0.06,-0.08
189%,133%,84.25,15.72,29.03,0.98,28.77,0.46,0.37
260%,148%,58.16,18.87,35.94,0.75,36.23,0.26,0.84
186%,98%,75.22,12.98,25.07,0.86,25.95,-0.28,-0.1
241%,126%,64.31,19.55,32.96,1.67,35.19,0.36,-0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
128%,112%,8.83,23.89,6.89,5.11,40.37,,
109%,112%,9.69,22.06,6.91,1.79,42.36,0.05,
102%,99%,10.51,18.35,6.09,1.37,38.36,-0.09,-0.05
78%,77%,12.44,13.73,4.54,1.94,29.52,-0.23,-0.3
65%,66%,12.92,15.74,3.56,6.23,23.29,-0.21,-0.39
67%,80%,14.76,18.57,3.97,-5.1,26,0.12,-0.12
95%,107%,13.22,19.55,4.52,4.39,32.85,0.26,0.41
104%,111%,18.31,16.26,4.67,7.08,36.9,0.12,0.42
127%,123%,12.18,18.12,5.58,21.15,45.66,0.24,0.39
141%,140%,10.14,20.37,7.27,6.67,62.12,0.36,0.68
188%,163%,5.91,23.72,9.62,-6.52,86.09,0.39,0.89
230%,136%,8.6,15.27,9.88,-4.22,94.8,0.1,0.53
368%,133%,6.1,17.7,12.22,17.72,116.49,0.23,0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
132%,103%,19.5,14.72,4.7,-3.79,35.47,,
104%,105%,22.5,13.32,4.35,-4.98,33.16,-0.07,
121%,123%,14.14,14.22,4.94,-11.75,43.66,0.32,0.23
102%,117%,17.76,11.15,4.5,3.21,41.46,-0.05,0.25
67%,74%,16.77,7.76,2.74,2.38,27.33,-0.34,-0.37
88%,95%,47.15,11.21,10.83,0.16,36.21,0.32,-0.13
116%,118%,21.9,14.75,14.08,0.19,46.17,0.28,0.69
102%,117%,108.04,34.77,23.01,0.12,37.2,-0.19,0.03
108%,149%,117.46,31.3,24.48,0.22,39.12,0.05,-0.15
89%,169%,138.43,-79.63,18.59,-1.56,31.85,-0.19,-0.14
108%,222%,98.99,29.1,22.5,-2.5,39.58,0.24,0.01
73%,145%,182.99,15.92,13.68,-1.6,25.16,-0.36,-0.21
76%,130%,191.93,14.59,13.48,-1.5,24.66,-0.02,-0.38
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
954%,511%,10.88,60.46,5.68,2.09,10.58,,
884%,381%,12.24,44.42,7.01,1.19,12.57,0.19,
956%,388%,12.93,49.72,11,1.11,19.29,0.53,0.82
666%,230%,20.08,29.51,9.78,0.74,16.97,-0.12,0.35
157%,148%,42.92,12.54,5.26,0.72,9.03,-0.47,-0.53
216%,282%,28.52,25.47,13.48,2.19,22.67,1.51,0.34
253%,351%,25.39,30.93,22.28,7.12,36.65,0.62,3.06
180%,174%,37.62,22.57,19.5,3.07,32.16,-0.12,0.42
168%,150%,37.29,21.48,22.29,2.35,36.94,0.15,0.01
176%,157%,35.15,25,30.68,3.46,50.49,0.37,0.57
151%,135%,49.22,22.41,32.09,1.15,52.66,0.04,0.43
137%,131%,45.21,22.65,36.55,1.55,60.02,0.14,0.19
107%,106%,43.21,20.88,32.31,3.16,53.25,-0.11,0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
113%,168%,13.99,32.61,4.17,-15.57,24.46,,
118%,167%,15.05,30.89,5.07,1.24,28.73,0.17,
105%,141%,19.8,27.89,4.86,2.84,27.05,-0.06,0.11
135%,172%,17.21,33.34,7.12,1.64,38.01,0.41,0.32
86%,100%,31.01,24.55,4.28,2.13,23.57,-0.38,-0.13
133%,170%,20.05,40.4,7.6,2.75,41.61,0.77,0.09
185%,253%,14.91,46.86,12.83,2.91,68.41,0.64,1.9
135%,186%,19.42,32.47,11.28,2.83,60.72,-0.11,0.46
122%,170%,20.46,35.28,12.23,2.37,65.62,0.08,-0.04
100%,150%,23.15,35.14,11.59,2.37,63.25,-0.04,0.04
92%,153%,24.92,43.4,10.26,3.44,63.8,0.01,-0.03
97%,174%,22.22,38.02,11.64,-23.22,75.65,0.19,0.2
99%,173%,33.4,29.63,13.77,-1.37,88.31,0.17,0.38
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,138%,215.56,20.49,18.08,-0.14,22.54,,
,138%,173.5,18.22,21.51,-0.12,26.42,0.17,
,133%,226.63,19.32,25.52,-0.09,30.91,0.17,0.37
,141%,270.85,20.7,57.1,0.05,39.75,0.29,0.5
130%,92%,469.38,13.18,41.28,0.1,28.74,-0.28,-0.07
141%,91%,381.87,12.63,44.8,0.87,32.21,0.12,-0.19
124%,92%,318.38,13.96,47.39,1.7,34.77,0.08,0.21
123%,101%,293.18,15.87,52.93,2.82,40.78,0.17,0.27
115%,110%,292.66,16.01,59.52,11.14,48.35,0.19,0.39
138%,141%,215.52,19.14,84.45,16.46,71.57,0.48,0.76
144%,166%,197.56,24.32,109.79,7.39,96.31,0.35,0.99
125%,145%,236.97,21.12,107.64,1.07,97.77,0.02,0.37
77%,102%,361.07,15.86,78.98,1.69,74.06,-0.24,-0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
139%,126%,357.93,8.36,110.64,1.75,52.51,,
120%,108%,440.57,8.68,126.75,0.89,56.77,0.08,
134%,118%,386.36,9.43,159.16,1.04,73.53,0.3,0.4
139%,131%,362.13,10.64,195.1,1.75,93.33,0.27,0.64
108%,89%,432.92,6.34,148.25,1.07,73.97,-0.21,0.01
112%,92%,340.45,14.69,154.57,0.78,76.99,0.04,-0.18
117%,105%,317.94,9.63,183.18,0.97,91.25,0.19,0.23
117%,114%,315.79,7.92,210.8,0.86,106.4,0.17,0.38
126%,99%,316.37,8.12,210.52,0.95,108.14,0.02,0.19
141%,115%,264.33,11.26,239.03,0.44,124.91,0.16,0.17
150%,100%,284.6,11.06,210.86,0.02,112.18,-0.1,0.04
,103%,283.09,36.72,169.38,-0.72,89.96,-0.2,-0.28
,149%,222.92,-138.75,209.54,-3.36,111,0.23,-0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,,0,,
,,, -   ,0,,0,,
,,, -   ,0,-0.39,0,,
,,6.24,54.24,1.56,-0.44,20.61,,
,234%,11.87,6.6,1.93,-0.94,22.82,0.11,
,408%,7.51,-374.17,3.85,-0.58,44.9,0.97,1.18
,638%,5.78,40.22,9.01,-0.96,87.67,0.95,2.84
,239%,7.48,17.76,9.72,-0.71,93.75,0.07,1.09
,145%,9.19,19.41,8.42,-1.19,80.56,-0.14,-0.08
,200%,7.01,45.19,11.35,-0.97,108,0.34,0.15
,164%,12.68,20.44,11.27,-1.12,99.75,-0.08,0.24
,195%,6.42,171.96,11.99,-1.02,92.86,-0.07,-0.14
,294%,4.27,-12.92,19.61,4.92,134.26,0.45,0.35
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
4101%,143%,237.02,17.92,23.03,-0.25,33.87,,
4673%,174%,375.13,25.73,26.79,-0.67,38.6,0.14,
8512%,140%,267.87,21.33,29.26,-0.87,41.92,0.09,0.24
,138%,163.54,12.23,27.38,0.72,47.45,0.13,0.23
,89%,217.47,11.34,20.84,0.99,35.84,-0.24,-0.15
,91%,175.57,17.94,23.31,-1.12,38.92,0.09,-0.18
,90%,135.14,8.97,24.82,-0.59,42.72,0.1,0.19
,108%,131.16,21.67,30.26,-0.81,53.08,0.24,0.36
,125%,149.86,97.74,29.84,-1.39,51.8,-0.02,0.21
,174%,111.27,22.08,37.58,-0.16,64.69,0.25,0.22
,213%,93.6,34.33,44.99,-0.32,76.9,0.19,0.48
,158%,120.03,21.14,40.31,-1.17,67.64,-0.12,0.05
,162%,122.07,22.37,46.35,-0.37,73.95,0.09,-0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,1.09,0,,
,,, -   ,0,0.56,0,,
,,, -   ,0,0.23,0,,
49%,100%,443.59,7.06,4.35,-0.07,14.89,,
37%,77%,967.89,-0.6,8,-0.13,11.46,-0.23,
89%,76%,860.9,-7.59,8.92,-0.45,11.38,-0.01,-0.24
93%,108%,903.57,18,10.52,1.17,12.6,0.11,0.1
72%,72%,"1,569.96",8.01,6.84,-1.73,8.09,-0.36,-0.29
81%,114%,"1,117.94",9.97,10.11,-12.47,11.87,0.47,-0.06
160%,71%,515.18,2.24,23.39,0.57,27.47,1.31,2.4
200%,142%,343.14,63.06,40.59,0.85,49.19,0.79,3.14
131%,112%,345.75,9,39.48,-4.52,50.69,0.03,0.85
104%,119%,307.62,7.95,36.26,-9.13,49.24,-0.03,0
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
208%,205%,170.36,26.33,46.34,5.21,46.6,,
204%,151%,184.2,19.5,37.12,1.23,40.37,-0.13,
163%,146%,171.6,13.69,42.66,-2.44,46.27,0.15,-0.01
127%,116%,203.94,13.01,37.66,40.74,41.88,-0.09,0.04
69%,64%,404.08,10.92,21.68,7.12,24.03,-0.43,-0.48
78%,86%,293.53,16.66,28.91,-4.87,31.99,0.33,-0.24
104%,129%,198.16,14.45,43.46,5.36,47.38,0.48,0.97
85%,104%,257.19,11.54,40.28,0.92,43.49,-0.08,0.36
86%,98%,317.15,14.68,39.87,1.23,42.73,-0.02,-0.1
138%,120%,216.57,11.92,57.21,-1.81,61.72,0.44,0.42
204%,125%,196.54,17.92,63.57,-2.69,70.24,0.14,0.64
281%,131%,155.45,30.83,58.03,-0.83,66.6,-0.05,0.08
304%,165%,128.31,27.95,61.72,-2.41,71,0.07,0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
138%,102%,383.08,10.34,14.37,0.57,30.34,,
308%,118%,301.91,11.86,19.35,1.13,42.57,0.4,
394%,167%,205.57,19.36,34.05,1.88,77.45,0.82,1.55
242%,69%,395.62,8.2,16.28,0.95,38.56,-0.5,-0.09
216%,84%,279.97,22.11,19.28,0.48,45.55,0.18,-0.41
360%,134%,185.15,17.66,32.42,0.42,76.8,0.69,0.99
313%,117%,231.25,11.45,30.82,0.85,75.9,-0.01,0.67
302%,105%,223.45,11.2,33.13,0.11,85.44,0.13,0.11
203%,92%,268.55,9,30.59,0.09,81.84,-0.04,0.08
183%,84%,248.22,9.91,29.55,0.2,85.54,0.05,0
,76%,261.65,13.52,24.7,5.06,78,-0.09,-0.05
,0%,,,0,-1.97,0,-1,-1
,123%,186.71,20.74,32.67,2.98,103.92,,0.33
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,,0,,
,,, -   ,0,-0.85,0,,
,,, -   ,0,0.62,0,,
124%,75%, -   ,14.12,8.3,0.48,17.37,,
75%,63%, -   ,5.33,4.91,0.73,10.23,-0.41,
104%,96%, -   ,6.5,8.39,1.14,15.46,0.51,-0.11
106%,100%, -   ,14.98,9.96,0.56,18.28,0.18,0.79
126%,109%, -   ,5.87,12.6,0.48,23.82,0.3,0.54
175%,148%, -   ,9.33,20.72,0.7,41.61,0.75,1.28
206%,150%, -   ,11.28,26.42,0.92,55.95,0.34,1.35
204%,151%, -   ,13.37,29.42,1.26,65.49,0.17,0.57
148%,109%, -   ,10.45,22.61,1.4,53.62,-0.18,-0.04
163%,130%, -   ,12.37,26.98,1.53,68.41,0.28,0.04
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,3.98,0,,
,,, -   ,0,1.49,0,,
,,, -   ,0,2.08,0,,
,,,,0,0.13,0,,
,,, -   ,0,0.15,0,,
126%,147%,51.36,22.59,8,-4.49,23.49,,
121%,150%,49.1,15.28,9.5,4.83,27.81,0.18,
159%,149%,35.44,19.19,14.71,2.21,42.61,0.53,0.81
156%,131%,37.61,16.22,15.46,1.86,46.22,0.08,0.66
163%,126%,32.17,17.77,17.86,3.56,56.32,0.22,0.32
152%,125%,29.26,19.21,20.35,12.22,67.06,0.19,0.45
143%,122%,26.59,19,21.52,4.49,75.06,0.12,0.33
128%,116%,33.97,18.75,22.56,61.71,80.06,0.07,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
166%,148%,21.85,20.33,9.67,3.13,47.78,,
150%,129%,21.39,19.35,10.22,2.52,51.48,0.08,
130%,113%,21.71,18.03,10.28,1.58,53,0.03,0.11
108%,117%,24.35,30.4,10.27,0.7,52.9,0,0.03
89%,111%,23.59,17.48,10.15,0.9,51.91,-0.02,-0.02
98%,117%,17.54,15.6,11.07,-17.11,60.38,0.16,0.14
82%,92%,22.5,13.33,9.21,-42.47,53.97,-0.11,0.04
91%,98%,26.89,19.88,9.14,4.01,58.06,0.08,-0.04
83%,95%,17.98,16.84,9.23,2.46,58.27,0,0.08
84%,81%,21.14,9.66,7.71,51.84,53.54,-0.08,-0.08
107%,99%,25.48,17.6,9.66,58.2,67.06,0.25,0.15
128%,102%,16.49,14.61,10.17,1.56,71.14,0.06,0.33
137%,124%,11.84,18.79,12.24,2.62,88.32,0.24,0.32
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
222%,164%,56.37,7.84,11.33,-0.21,36.22,,
,92%,140.95,6.14,7.5,-0.65,23.95,-0.34,
48%,48%,149.26,-5.64,4.03,-12.62,12.81,-0.47,-0.65
42%,50%,372.1,-1.56,4.12,-0.2,13.02,0.02,-0.46
46%,,106.13,-6.6,3.62,-0.75,11.41,-0.12,-0.11
53%,118%,102.87,14.44,3.55,2.16,11.12,-0.03,-0.15
70%,213%,113.97,39.3,2.86,-6.29,9.04,-0.19,-0.21
242%,190%,56.25,7.45,6.6,0.24,20.63,1.28,0.86
35931%,147%,105.42,14.61,6.27,-0.64,19.43,-0.06,1.15
,124%,66.05,13.68,7.48,-0.69,20.52,0.06,-0.01
414%,156%,47.7,14.46,10.82,-0.55,29.36,0.43,0.51
222%,118%,48.15,12.8,11.26,0.65,30.2,0.03,0.47
164%,109%,50.35,12.29,10.77,3.93,28.88,-0.04,-0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
125%,149%,101.21,18.92,13.44,1.36,21.76,,
106%,115%,107.31,15.32,12.92,1.21,21.14,-0.03,
115%,113%,89.61,15.78,16.94,0.77,27.45,0.3,0.26
120%,110%,87.21,15.87,21.17,0.51,33.25,0.21,0.57
71%,66%,127.98,10.86,13.71,1.07,21.45,-0.35,-0.22
93%,87%,96.88,16.47,18.4,6.11,28.5,0.33,-0.14
112%,103%,92.44,13.54,23.46,1.76,35.75,0.25,0.67
104%,96%,117.03,11.46,24.52,0.57,35.65,0,0.25
107%,101%,99.27,12.61,29.13,0.73,42.37,0.19,0.19
130%,127%,77.38,15.4,40.85,4.64,58.51,0.38,0.64
131%,130%,83.07,17.9,45.75,5.99,64.96,0.11,0.53
131%,125%,87.65,14.85,48.35,0.66,70.4,0.08,0.2
136%,135%,59.87,22.22,55.03,1.4,79.56,0.13,0.22
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
121%,121%,387.33,19.89,47.51,2.97,23.67,,
117%,127%,336.63,18.49,62.6,1.58,30.33,0.28,
116%,116%,331.23,15.28,67.48,3.07,34.39,0.13,0.45
93%,89%,377.68,13.46,55.94,23.6,30.69,-0.11,0.01
85%,77%,325.35,15.6,51.04,2.3,27.46,-0.11,-0.2
95%,92%,332.33,16.31,63.31,1.57,33.1,0.21,0.08
90%,81%,400.8,11.97,55.98,1.88,30.16,-0.09,0.1
143%,130%,245.08,16.7,94.1,3.76,52.28,0.73,0.58
153%,139%,181.49,19.08,116.08,1.63,64.49,0.23,1.14
169%,161%,149.3,20.9,151.35,1.98,89.03,0.38,0.7
173%,156%,159.82,20.86,172.5,10.02,102.2,0.15,0.58
130%,121%,181.37,16.21,149.24,6.84,92.86,-0.09,0.04
121%,115%,170.43,17.28,158.11,7.84,98.82,0.06,-0.03
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,0.63,0,,
,,12.81,117,3.93,0.22,7.02,,
,,16.35,-93.25,4.18,0.16,7.46,0.06,
,,10.3,-97.08,6.55,0,11.65,0.56,0.66
232%,160%,147.99,14.76,4.07,0.13,7.23,-0.38,-0.03
201%,171%,49.97,24.68,8.9,0.28,15.67,1.17,0.35
213%,172%,36.85,28.03,12.1,3.69,21.3,0.36,1.95
165%,132%,35.64,14.95,10.93,3.92,20.93,-0.02,0.34
233%,211%,29.17,52.31,15.91,2.64,32.43,0.55,0.52
261%,239%,28.01,31,21.73,1.02,46.19,0.42,1.21
158%,150%,75.59,20.75,15.12,1.53,34.45,-0.25,0.06
103%,100%,59.18,16.89,11.15,5.73,26.68,-0.23,-0.42
99%,100%,55.27,15.47,10.83,3.37,27.54,0.03,-0.2
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,, -   ,0,0.63,0,,
,,, -   ,0,0.22,0,,
,,, -   ,0,0.16,0,,
,,, -   ,0,0,0,,
232%,160%,159.7,13.67,3.77,0.13,6.7,,
195%,165%,59.05,20.88,7.53,0.28,13.26,0.98,
210%,149%,42.78,24.14,10.42,3.69,18.35,0.38,1.74
168%,120%,39.58,13.46,9.84,3.92,18.85,0.03,0.42
238%,191%,32.34,47.18,14.35,2.64,29.25,0.55,0.59
269%,218%,30.86,28.14,19.72,1.02,41.93,0.43,1.22
170%,149%,77.22,20.31,14.8,1.53,33.72,-0.2,0.15
106%,96%,62.61,15.96,10.54,5.73,25.22,-0.25,-0.4
104%,99%,56.85,15.04,10.52,3.37,26.77,0.06,-0.21
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,,,-,,
,,,,0,,0,,
,,, -   ,0,,0,,
131%,149%,172.33,7.92,7.07,3.3,21.54,,
160%,170%,95.66,11.49,12.06,1.2,38.25,0.78,
170%,173%,64.76,15.46,18.42,1.55,60.13,0.57,1.79
158%,166%,53.48,16.23,21.21,5.68,72.72,0.21,0.9
144%,151%,45.81,16.94,23.85,2,85.73,0.18,0.43
104%,110%,56.89,15.92,18.29,1.84,67.52,-0.21,-0.07
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,, -   ,-44.9,0.29,-0.67,13.47,,
,, -   ,90.52,0.62,-0.85,22.63,0.68,
,, -   ,72.83,1.86,-1.09,34.23,0.51,1.54
,, -   ,127.9,2.51,-1.19,38.37,0.12,0.7
,,6.01,86.45,2.4,-1.8,32.85,-0.14,-0.04
,,3.74,82.43,3.86,-1.73,50.28,0.53,0.31
,,5.6,75.79,4.7,-1,51.54,0.03,0.57
,,5.86,50.51,7.07,-0.94,66.67,0.29,0.33
,,10.9,45.87,8.5,-1.22,67.89,0.02,0.32
,150%,15.58,23.17,6.31,-0.96,49.12,-0.28,-0.26
,202%,10.87,66.97,8.99,-3.76,66.3,0.35,-0.02
,214%,9.72,48.47,11.07,-0.56,75.62,0.14,0.54
,280%,9.06,65.43,14.46,-0.42,90.95,0.2,0.37
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,98%,32.42,17.23,3.08,0.28,9.08,,
232%,88%,35.73,15.52,2.64,3.19,8.27,-0.09,
167%,104%,37.42,16.99,3.13,2.25,10.48,0.27,0.15
120%,88%,43.46,13.4,2.52,4.22,9.34,-0.11,0.13
141%,118%,28.79,16.89,3.88,-4.36,14.24,0.52,0.36
122%,114%,28.82,13.93,4.34,-9.96,16.51,0.16,0.77
150%,142%,21.07,16.32,6.24,10.24,25.29,0.53,0.78
189%,178%,13.7,21.09,9.8,4.87,42.4,0.68,1.57
164%,130%,16.91,14.92,9.23,3.63,39.99,-0.06,0.58
169%,138%,13.58,18.57,11.07,3.53,50.52,0.26,0.19
192%,162%,12.12,24.52,14.62,15.69,71.1,0.41,0.78
214%,203%,25.77,64.54,19.11,0.12,81.32,0.14,0.61
182%,199%,23.93,25.92,21.03,0.16,89.18,0.1,0.25
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
128%,142%,11.96,20.57,4.09,-19.94,59.65,,
126%,139%,15.37,20.99,4.49,-1.97,66.96,0.12,
135%,144%,9.73,22.38,4.98,-4.39,82.79,0.24,0.39
122%,127%,10.27,17.76,5.02,2.83,88.63,0.07,0.32
91%,96%,11.77,13.84,4.16,9.79,77.2,-0.13,-0.07
91%,93%,10.18,14.09,4.32,10.63,84.37,0.09,-0.05
87%,84%,11.3,16.48,4.07,2.42,82.09,-0.03,0.06
83%,77%,12.74,14.17,3.57,3.01,74.83,-0.09,-0.11
87%,80%,11.15,12.23,3.25,11.94,78.65,0.05,-0.04
127%,120%,6.94,18.77,4.64,-5.99,122.75,0.56,0.64
118%,111%,9.58,15.14,4.34,-1.8,120.96,-0.01,0.54
97%,99%,9.23,22.4,3.75,5.87,103.93,-0.14,-0.15
114%,143%,7.43,46.71,4.54,3.03,123.31,0.19,0.02
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
142%,126%,37.97,17.22,7.09,1.99,34.79,,
109%,116%,32.95,13.44,6.79,1.09,33.59,-0.03,
120%,114%,35.61,14.84,8.31,1.05,40.66,0.21,0.17
100%,98%,44.31,11.73,7.42,4.1,38.23,-0.06,0.14
66%,69%,45.32,8.75,5.08,"-2,402.40",27.31,-0.29,-0.33
77%,84%,28.08,18.07,6.45,10.72,34.52,0.26,-0.1
102%,110%,24.63,13.11,9.04,8.84,48.49,0.4,0.78
101%,98%,24.98,10.16,8.84,2.01,48.15,-0.01,0.39
110%,98%,36.45,12.36,9.52,1.59,54.51,0.13,0.12
149%,133%,20.17,13.85,13.61,2.03,80.08,0.47,0.66
127%,114%,28.43,15.63,11.69,-2.1,71.72,-0.1,0.32
107%,92%,22.3,11.23,9.5,-1.65,61.31,-0.15,-0.23
122%,116%,26.16,23.02,11.23,4.64,72.28,0.18,0.01
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
289%,124%,212.2,16.9,47.18,1.47,49.51,,
180%,88%,243.34,9.48,42.38,4.57,43.82,-0.11,
133%,71%,265.69,10.45,38.23,-54.57,39.9,-0.09,-0.19
103%,71%,315.7,13.18,37.07,2.33,39.42,-0.01,-0.1
46%,33%,868.65,24.34,13.95,-2.76,15.09,-0.62,-0.62
79%,100%,474.3,86.34,31.78,0.29,27.63,0.83,-0.3
106%,170%,407.03,19.85,39.85,0.21,34.14,0.24,1.26
121%,122%,474.06,14.03,34.07,36.34,28.76,-0.16,0.04
149%,158%,355.49,46.19,38.9,0.89,32.33,0.12,-0.05
147%,156%,269.62,12.07,53.51,5.65,44.4,0.37,0.54
129%,133%,253.91,15.89,52.8,-4.23,45.61,0.03,0.41
123%,98%,217.85,8.37,57.5,-3.6,51.48,0.13,0.16
154%,84%,233.57,8.6,60.76,0.89,54.18,0.05,0.19
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
,,,,0,,0,,
,,,,0,,0,,
,,, -   ,0,107.21,0,,
,,, -   ,0,0.69,0,,
101%,,49.29,-13.21,4.12,400.33,16.25,,
140%,109%,30.18,13.04,7.19,-0.78,28.3,0.74,
103%,114%,38.05,16.2,7.87,-7.76,35.16,0.24,1.16
92%,119%,48.51,14.41,8.37,-3.46,39.48,0.12,0.4
107%,118%,27.89,14.93,9.07,24.91,44.18,0.12,0.26
147%,118%,21.14,15.97,9.65,4.22,48.72,0.1,0.23
167%,150%,14.48,20.13,13.83,-5.27,71.68,0.47,0.62
194%,163%,16.98,23.48,17.51,-3.65,93.2,0.3,0.91
158%,134%,16.85,19.09,16.17,-5.7,88.02,-0.06,0.23
Overvaluation (FCF),Overvaluation (Earnings),FCF/PRICE,P/E,Market cap,ROIC,Price,Outcome short,Outcome long
172%,128%,35.92,16.34,4.49,-4.06,29.08,,
121%,119%,32.36,14.68,4.66,-7.34,31.71,0.09,
132%,153%,26.33,30.22,5.78,-12.93,40.8,0.29,0.4
87%,105%,37.05,11.8,4.31,0.63,30.67,-0.25,-0.03
92%,105%,33.84,12.22,4.51,0.39,32.39,0.06,-0.21
93%,106%,31.5,13.52,5.4,3.82,38.41,0.19,0.25
108%,116%,28.37,13.38,6.11,4.35,45.35,0.18,0.4
106%,107%,38.3,12.97,5.98,3.97,46.32,0.02,0.21
102%,103%,30.54,14.82,6.04,0.82,46.38,0,0.02
114%,104%,36.06,20.87,5.94,0.7,44.88,-0.03,-0.03
129%,119%,20.39,10.73,7.43,-0.99,58.69,0.31,0.27
126%,131%,17.5,23.39,8.56,-0.58,67.83,0.16,0.51
117%,133%,15.1,24.18,9.22,-1.58,74.95,0.1,0.28
